Title,URL,Deck,PubDate,icon,Latitude,Longitude
BART Votes to Delay Fare Increase,/transportation/story/bart-votes-delay-fare-increase/,"Next increase won't happen until July, thanks to unexpected funding from state",08/26/2010,wht_pushpin,37.8088032,-122.2640847
Civil Rights Review of MTC Raises Governance Questions ,/transportation/story/federal-civil-rights-review-raises-mtc/,"The FTA's unusual probe, sparked by airport connector plan, is being closely watched by transit policymakers",08/24/2010,wht_pushpin,37.8043722,-122.2708026
Vigil for Cyclist Wednesday,/blogs/pulse-of-the-bay/vigil-cyclist/,,08/23/2010,wht_pushpin,37.7749295,-122.4194155
Disabled Parking Permits Appear to Be Overused,/transportation/story/handicap-placard-abuse-downtown-oakland/,Nearly half of cars in downtown Oakland have placards,08/20/2010,wht_pushpin,37.8043722,-122.2708026
Bikers Going Back to Arco Station,/blogs/pulse-of-the-bay/bikers-going-back-arco-station/,,08/20/2010,wht_pushpin,37.7749295,-122.4194155
Bikers Going Back to Arco Station,/blogs/pulse-of-the-bay/bikers-going-back-arco-station/,,08/20/2010,wht_pushpin,37.7749295,-122.4194155
Call that Grounded Plane Was Made to Hotel in Alameda,/blogs/pulse-of-the-bay/call-grounded-plane-was-made-hotel/,,08/19/2010,wht_pushpin,37.724489,-122.242226
Passengers Recount Wait on Tarmac,/travel/story/passengers-recount-wait-tarmac/,American Airlines flight held at San Francisco airport following phone threat,08/19/2010,wht_pushpin,37.615223,-122.389979
American Airlines Flight Held at SFO Due to Threat,/blogs/pulse-of-the-bay/american-airlines-flight-held-sfo-due/,,08/19/2010,wht_pushpin,37.615223,-122.389979
Suspect in Muni Stabbing Arrested,/crime/story/teenage-suspect-muni-stabbing-arrested/,Police say victim was stabbed after trying to intervene in dispute,08/18/2010,wht_pushpin,37.735028,-122.493857
Riders Speak Up about Potential Caltrain Cuts,/transportation/story/riders-speak-about-potential-caltrain/,Agency gets hundreds of messages; public meetings planned,08/18/2010,wht_pushpin,37.506445,-122.262004
Russian Mogul's 'Mega Yacht' Is Spotted Near Sausalito,/blogs/pulse-of-the-bay/russian-moguls-mega-yacht-near-sausalito/,,08/18/2010,wht_pushpin,37.8590937,-122.4852507
Feds Probe MTC over Civil Rights,/transportation/story/feds-probe-mtc-over-civil-rights/,Agency must prove it's following laws in airport connector debacle,08/17/2010,wht_pushpin,37.8043722,-122.2708026
Death Heightens Calls for Bike Lanes,/bikes/story/death-heightens-calls-bike-lanes/,"Driver who fatally hit bicyclist held for manslaughter, drunk driving",08/16/2010,wht_pushpin,37.7786249,-122.4470467
Death Heightens Calls for Bike Lanes,/bikes/story/death-heightens-calls-bike-lanes/,"Driver who fatally hit bicyclist held for manslaughter, drunk driving",08/16/2010,wht_pushpin,37.7786249,-122.4470467
Muni Posts Movie Ad with Guns: Whoops,/blogs/pulse-of-the-bay/muni-posts-movie-ad-guns-whoops/,,08/13/2010,wht_pushpin,37.7749295,-122.4194155
"BART Won't Cut Fares, Despite Surplus",/transportation/story/bart-wont-cut-fares-despite-surplus/,"Windfall from the state will go to rainy day fund, new seats and cleaning",08/12/2010,wht_pushpin,37.8084162,-122.2653875
Peninsula Grumbles as Rail Project Moves,/blogs/pulse-of-the-bay/peninsula-grumbles-rail-project-moves/,,08/12/2010,wht_pushpin,37.4852152,-122.2363548
Bike Lanes Get Green Light at Last,/bikes/story/bike-lanes-get-green-light-last/,Blogger who held up the project for 4 years is still considering an appeal,08/09/2010,wht_pushpin,37.7770892,-122.3949831
Bike Lanes Get Green Light at Last,/bikes/story/bike-lanes-get-green-light-last/,Blogger who held up the project for 4 years is still considering an appeal,08/09/2010,wht_pushpin,37.7770892,-122.3949831
A Streetcar for Oakland? A Student Shares His Plan,/transportation/story/streetcar-oakland-student-shares-his/,A new take on the old Key System could reinvigorate the city and provide better transportation,08/09/2010,wht_pushpin,37.8043722,-122.2708026
Bike Injunction Lifted,/blogs/pulse-of-the-bay/bike-injunction-lifted/,,08/06/2010,wht_pushpin,37.7749295,-122.4194155
SFMTA to Name Sustainable Streets Director,/transportation/story/sf-municipal-transportation-agency-name/,Bond Yee gets the job and lukewarm reception from transportation advocates,08/06/2010,wht_pushpin,37.7749295,-122.4194155
Muni to Restore Bulk of Cuts Next Month,/transportation/story/muni-partially-restore-cut-service-labor/,Plan due in December for full restoration by summer 2011,08/03/2010,wht_pushpin,37.774819,-122.41868
AC Transit Drivers Win in Court,/blogs/pulse-of-the-bay/ac-transit-drivers-win-court/,,08/02/2010,wht_pushpin,37.8043722,-122.2708026
"Charging Station: Amtrak, Martinez",/local-intelligence/story/local-intelligence-charging-station/,Electric vehicles can be recharged outside the Martinez Amtrak station,07/31/2010,wht_pushpin,38.018453,-122.138917
No Decision Yet on AC Transit Contract,/blogs/pulse-of-the-bay/no-decision-yet-ac-transit-contract/,,07/30/2010,wht_pushpin,37.799679,-122.262619
MTC Aims to Lower Emissions by 2035,/transportation/story/metropolitan-transportation-commission/,A 15 percent reduction will change Bay Area transit and land use,07/30/2010,wht_pushpin,37.7749295,-122.4194155
New Toll Takes Toll on Carpool Drivers,/blogs/pulse-of-the-bay/new-toll-takes-toll-carpool-drivers/,,07/29/2010,wht_pushpin,37.7749295,-122.4194155
Bay Bridge Tower Section Placed,/transportation/story/bay-bridge-suspension-tower-placed/,Local leaders celebrate as crews tilt the first of four tower legs into place,07/29/2010,wht_pushpin,37.8111407,-122.3660115
Hunters Point Bridge Gets Green Light,/development/story/hunters-point-bridge-gets-green-light/,Supes don't nix controversial span; Lennar project rolls forward,07/27/2010,wht_pushpin,37.7276095,-122.3702611
Will Green Paint Bring Bikers Peace? ,/blogs/pulse-of-the-bay/will-green-paint-bring-bikers-peace/,,07/27/2010,wht_pushpin,37.7749295,-122.4194155
SF Police Arrest 2 in Muni Ticket Theft,/transportation/story/sfpd-arrests-two-muni-ticket-theft/,A Muni mechanic and his criminal partner sold late-night transfers,07/26/2010,wht_pushpin,37.7749295,-122.4194155
BART Board OKs Airport Connector,/transportation/story/bart-board-oks-airport-connector/,Tram advocates brush aside loss of federal funds to pursue project,07/22/2010,wht_pushpin,37.8043722,-122.2708026
Meet Your New Parking Meter ,/transportation/story/meet-your-new-parking-meter/,"San Francisco is rolling out 200 snazzy new meters, but will they deliver?",07/22/2010,wht_pushpin,37.7729366,-122.4283212
Rush Hour? Pay to Drive Downtown,/transportation/story/rush-hour-pay-drive-downtown/,Public meetings to address congestion pricing in San Francisco,07/20/2010,wht_pushpin,37.7749295,-122.4194155
Bus Drivers Literally Sick of Contract,/blogs/pulse-of-the-bay/ac-transit-drivers-sick-contract/,,07/20/2010,wht_pushpin,37.8043722,-122.2708026
GG Bridge Carpoolers Get FasTraked,/blogs/pulse-of-the-bay/gg-bridge-carpoolers-get-fastraked/,,07/16/2010,wht_pushpin,37.8195864,-122.4785325
Muni's On-Time Performance Inched Up ,/transportation/story/munis-time-performance-inched/,New report says on-time rate is 75 percent--short of 85 percent target,07/15/2010,wht_pushpin,37.7749295,-122.4194155
Lawyers to Announce Class Action Suit Against NUMMI and Toyota,/transportation/story/lawyers-announce-class-action-suit-nummi/,Lawsuit is on behalf of employees left out of work by Fremont auto plant closure,07/14/2010,wht_pushpin,37.5482697,-121.9885719
Peninsula: Stop the Train,/blogs/pulse-of-the-bay/peninsula-stop-train/,,07/06/2010,wht_pushpin,37.4538274,-122.1821871
Death Prompts Questions about Cyclist Website,/bikes/story/death-raises-questions-about-cyclist/,Online speed competition may encourage risk-taking,07/03/2010,wht_pushpin,37.9020612,-122.259717
"SF Tries a Fix for Angry Cyclists, But Protests Continue",/transportation/story/sf-tries-fix-angry-cyclists-protests/,"Gas station draws ire over oil spill, blocked bike lanes",07/03/2010,wht_pushpin,37.7740553,-122.4376796
"SF Tries a Fix for Angry Cyclists, But Protests Continue",/transportation/story/sf-tries-fix-angry-cyclists-protests/,"Gas station draws ire over oil spill, blocked bike lanes",07/03/2010,wht_pushpin,37.7740553,-122.4376796
"For Carpoolers: New Fares, New Anxiety  ",/transportation/story/carpoolers-new-fares-new-anxiety/,New Bay Bridge tolls have complicated casual carpooling,07/01/2010,wht_pushpin,37.8043722,-122.2708026
Carpoolers Casual About New Toll ,/transportation/story/casual-carpool-coasts-along/,Commuters still queue up for ride over the Bay Bridge (SEE VIDEO),07/01/2010,wht_pushpin,37.8715926,-122.272747
Bicylist Victim in Hit-and-Run Gets Trust Fund,/crime/story/bicylist-victim-hit-and-run-gets-trust/,,07/01/2010,wht_pushpin,37.7749295,-122.4194155
Did You Take Casual Carpool Today?,/blogs/pulse-of-the-bay/casual-carpool-discussion/,,07/01/2010,wht_pushpin,37.8043722,-122.2708026
Tomorrow's Carpool: Not So Casual,/blogs/pulse-of-the-bay/tomorrows-carpool-not-so-casual/,,06/30/2010,wht_pushpin,37.7749295,-122.4194155
Tesla Motors Scores with Stock Offering ,/blogs/pulse-of-the-bay/tesla-motors-scores-stock-offering/,,06/29/2010,wht_pushpin,37.4418834,-122.1430195
"Chinese, Koreans Trade Pick-Ups for Harleys",/blogs/pulse-of-the-bay/chinese-koreans-trade-pick-ups-harleys/,,06/25/2010,wht_pushpin,37.4852152,-122.2363548
Biker Who Died May Have Been Trying to Break a Speed Record,/bikes/story/biker-who-died-may-have-been-trying/,Cyclist was part of an online 'virtual' racing group,06/24/2010,wht_pushpin,37.9020612,-122.259717
SF Bike Lanes Await Final Decision,/transportation/story/sf-bike-lanes-await-final-decision/,"Three-hour hearing yields sniping, but few clues as to judge's position",06/22/2010,wht_pushpin,37.7749295,-122.4194155
SF Bike Lanes Await Final Decision,/transportation/story/sf-bike-lanes-await-final-decision/,"Three-hour hearing yields sniping, but few clues as to judge's position",06/22/2010,wht_pushpin,37.7749295,-122.4194155
Airport Connector Back on Track ,/transportation/story/derailed-once-airport-connector-saga/,"After feds pull $70 million, BART makes local stops for funds",06/22/2010,wht_pushpin,37.8043722,-122.2708026
"Play It Again, PianoBike Man",/music/story/play-it-again-pianobike-man/,Gary St. Frankenstein pedals as he plays,06/21/2010,wht_pushpin,37.7749295,-122.4194155
Bike Hit-and-Run Driver Pleads 'Not Guilty',/crime/story/bike-hit-and-run-driver-pleads-not/,David Mark Clark held without bail,06/17/2010,wht_pushpin,37.7749295,-122.4194155
They Call It Clipper ,/blogs/pulse-of-the-bay/they-call-it-clipper-now/,,06/16/2010,wht_pushpin,37.7749295,-122.4194155
AC Transit Wants $15 Million from Drivers,/transportation/story/ac-transit-wants-15-million-drivers/,"Negotiations stumble, mirroring San Francisco's Muni woes",06/14/2010,wht_pushpin,37.805364,-122.268402
Sunday Streets Gets Oakland Flair,/blogs/pulse-of-the-bay/sunday-streets-gets-oakland-flair/,,06/14/2010,wht_pushpin,37.7941971,-122.2760333
Sunday Streets Gets Oakland Flair,/blogs/pulse-of-the-bay/sunday-streets-gets-oakland-flair/,,06/14/2010,wht_pushpin,37.7941971,-122.2760333
Biker Attacker a 'Natural Healer',/blogs/pulse-of-the-bay/biker-attacker-tennis-pro-natural-healer/,,06/08/2010,wht_pushpin,37.7749295,-122.4194155
Biker Attacker a 'Natural Healer',/blogs/pulse-of-the-bay/biker-attacker-tennis-pro-natural-healer/,,06/08/2010,wht_pushpin,37.7749295,-122.4194155
Suspect Named in Mission Rampage,/blogs/pulse-of-the-bay/suspect-named-mission-rampage/,,06/05/2010,wht_pushpin,37.88687,-122.2977475
Suspect in Mission Rampage Reported Car Stolen,/blogs/pulse-of-the-bay/suspect-mission-rampage-reported-car/,,06/04/2010,wht_pushpin,37.7749295,-122.4194155
Suspect in Mission Rampage Reported Car Stolen,/blogs/pulse-of-the-bay/suspect-mission-rampage-reported-car/,,06/04/2010,wht_pushpin,37.7749295,-122.4194155
Nature Lover or Kook?,/crime/story/nature-lover-kook/,Police arrest Berkeley man for allegedly using a handsaw to attack a bicyclist,06/04/2010,wht_pushpin,37.8829891,-122.2458132
Nature Lover or Kook?,/crime/story/nature-lover-kook/,Police arrest Berkeley man for allegedly using a handsaw to attack a bicyclist,06/04/2010,wht_pushpin,37.8829891,-122.2458132
Arrest in Mission Bicyclist Rampage,/blogs/pulse-of-the-bay/police-arrest-suspect-mission-bicyclist/,,06/04/2010,wht_pushpin,37.775252,-122.403768
Station Loses Cheerful BART Attendant,/blogs/pulse-of-the-bay/bart-attendant-campaigns-cheerfulness/,,06/03/2010,wht_pushpin,37.7890206,-122.4017591
Eshoo to High Speed Rail: Don't mess with the Peninsula,/blogs/pulse-of-the-bay/eshoo-rail-fast-track-pissing-my/,,06/02/2010,wht_pushpin,37.4538274,-122.1821871
Memorable Memorial Day in SF… for Parking Tickets ,/transportation/story/memorable-memorial-day-sf-parking/,Drivers surprised to find parking meters enforced on national holiday,06/01/2010,wht_pushpin,37.7914959,-122.420873
Golden Gate Carpoolers Must Pay,/blogs/pulse-of-the-bay/golden-gate-carpoolers-must-pay/,,05/28/2010,wht_pushpin,37.7749295,-122.4194155
Muni Cuts Reversed...by 2011,/blogs/pulse-of-the-bay/muni-cuts-reversed-july-2011/,,05/27/2010,wht_pushpin,37.7749295,-122.4194155
Season of the Scraper Bikes,/blogs/pulse-of-the-bay/season-scraper-bikes/,,05/27/2010,wht_pushpin,37.5460071,-122.2953855
Season of the Scraper Bikes,/blogs/pulse-of-the-bay/season-scraper-bikes/,,05/27/2010,wht_pushpin,37.5460071,-122.2953855
East Bay Seniors Give AC Transit an Earful,/blogs/pulse-of-the-bay/update-ac-transit-public-hearings-dont/,,05/27/2010,wht_pushpin,37.805364,-122.268402
